Team,Opponent Team,Date,Site,Incident,Time,VAR used,Decision
River,Vélez,2023-08-08,Libertadores de América,empujón dentro del área,40',Yes,No penal
San Lorenzo,River,2025-05-25,Nuevo Gasómetro,mano en el área tras un centro,20',Yes,Roja
Lanús,Boca,2024-01-25,La Bombonera,mano en el área tras un centro,56',No,Gol válido
San Lorenzo,Boca,2024-04-23,Monumental,posición adelantada en el gol,45',No,No penal
Lanús,Racing,2025-02-15,Nuevo Gasómetro,empujón dentro del área,21',Yes,Amarilla
River,Independiente,2025-03-13,Cilindro,remate desviado tras rebote,48',Yes,Offside
Huracán,Boca,2024-07-25,La Bombonera,mano en el área tras un centro,86',Yes,No penal
Independiente,Lanús,2024-07-17,Monumental,empujón dentro del área,68',No,Offside
Vélez,Huracán,2024-08-28,La Bombonera,simulación de falta,35',Yes,Gol válido
San Lorenzo,River,2023-09-27,Cilindro,gol legítimo,90',Yes,Offside
San Lorenzo,River,2023-12-30,Monumental,empujón dentro del área,61',Yes,Gol válido
San Lorenzo,Vélez,2023-06-07,Monumental,gol con la mano,52',No,Gol anulado
Boca,San Lorenzo,2023-09-14,Cilindro,codazo en salto,1',Yes,Roja
Lanús,Vélez,2024-06-24,Nuevo Gasómetro,gol legítimo,52',Yes,Gol anulado
Lanús,San Lorenzo,2024-01-25,Nuevo Gasómetro,remate desviado tras rebote,7',Yes,Amarilla
San Lorenzo,River,2025-01-17,La Bombonera,mano en el área tras un centro,45',Yes,Amarilla
Lanús,San Lorenzo,2024-11-15,La Bombonera,simulación de falta,36',No,Roja
Vélez,Boca,2024-11-11,Nuevo Gasómetro,mano en el área tras un centro,19',Yes,Gol anulado
River,Boca,2023-06-11,La Bombonera,codazo en salto,73',Yes,Amarilla
Huracán,Independiente,2025-03-01,Monumental,contacto leve en el área,66',No,Amarilla
Lanús,Huracán,2024-01-16,Libertadores de América,entrada fuerte desde atrás,61',No,Gol anulado
Racing,Huracán,2024-04-28,Libertadores de América,codazo en salto,78',Yes,Penal
San Lorenzo,Vélez,2024-06-27,Libertadores de América,entrada fuerte desde atrás,37',Yes,No penal
Independiente,River,2023-07-24,Monumental,codazo en salto,18',Yes,Gol válido
Racing,Independiente,2024-11-09,Cilindro,gol con la mano,54',No,Gol anulado
San Lorenzo,River,2024-09-21,Nuevo Gasómetro,gol legítimo,75',No,Offside
Lanús,Racing,2024-11-26,Libertadores de América,mano en el área tras un centro,40',Yes,Gol anulado
Boca,Racing,2024-02-22,Libertadores de América,contacto leve en el área,80',Yes,No penal
Huracán,Vélez,2025-03-29,Cilindro,gol con la mano,77',Yes,Gol válido
Vélez,Huracán,2025-05-19,La Bombonera,posición adelantada en el gol,30',No,Amarilla
River,Lanús,2023-10-16,La Bombonera,mano en el área tras un centro,3',Yes,Amarilla
Vélez,Huracán,2023-11-26,La Bombonera,gol con la mano,20',No,Roja
Vélez,Huracán,2024-11-18,Libertadores de América,codazo en salto,50',No,Offside
Racing,Huracán,2024-07-06,Cilindro,remate desviado tras rebote,19',No,Offside
Independiente,Huracán,2024-08-29,Libertadores de América,entrada fuerte desde atrás,57',Yes,Offside
Lanús,Huracán,2023-09-22,Monumental,contacto leve en el área,12',Yes,Penal
Huracán,Independiente,2024-04-18,Nuevo Gasómetro,codazo en salto,38',Yes,Offside
Racing,Vélez,2025-02-10,Libertadores de América,simulación de falta,5',Yes,Gol válido
River,Lanús,2024-07-16,La Bombonera,simulación de falta,34',No,Penal
River,Vélez,2025-04-08,La Bombonera,codazo en salto,74',Yes,No penal
Vélez,Boca,2023-06-18,Monumental,codazo en salto,41',Yes,Penal
Lanús,Huracán,2024-10-01,Cilindro,entrada fuerte desde atrás,45',Yes,Roja
Huracán,Independiente,2024-02-27,Cilindro,codazo en salto,26',Yes,Offside
Lanús,Independiente,2024-09-05,Monumental,mano en el área tras un centro,18',No,Amarilla
Vélez,Independiente,2025-01-02,Libertadores de América,gol con la mano,63',Yes,Penal
Racing,River,2023-08-12,Cilindro,contacto leve en el área,25',Yes,No penal
Huracán,Lanús,2025-03-17,La Bombonera,posición adelantada en el gol,58',Yes,Roja
San Lorenzo,Huracán,2024-12-11,La Bombonera,empujón dentro del área,64',Yes,Roja
Racing,Huracán,2023-08-02,Cilindro,empujón dentro del área,34',No,Amarilla
River,Lanús,2025-01-17,Cilindro,simulación de falta,86',No,No penal
Lanús,Racing,2023-11-09,Nuevo Gasómetro,contacto leve en el área,66',No,Roja
Boca,San Lorenzo,2023-12-24,Monumental,gol con la mano,56',Yes,Penal
Vélez,Independiente,2023-08-15,Nuevo Gasómetro,entrada fuerte desde atrás,25',Yes,Amarilla
River,Vélez,2025-02-09,La Bombonera,contacto leve en el área,49',Yes,Roja
Boca,Racing,2025-03-01,Cilindro,contacto leve en el área,6',Yes,Amarilla
Racing,Boca,2025-04-12,Libertadores de América,posición adelantada en el gol,11',Yes,Gol válido
